Year,Team,Sample,Tm.FT_Perc,GMS,W,L,Tm.Pts,Opp.Pts
1990,SEA,Annual,0.74145891,82,41,41,8769,8684
1990,UTA,Annual,0.754428341,82,55,27,8760,8367
1990,WSB,Annual,0.763975155,82,31,51,8832,9009
1991,ATL,Annual,0.799528302,82,43,39,9003,8940
1991,BOS,Annual,0.824236355,82,56,26,9145,8668
1991,CHH,Annual,0.779132791,82,26,56,8428,8858
1991,CHI,Annual,0.760303174,82,61,21,9024,8278
1991,CLE,Annual,0.765165441,82,33,49,8343,8545
1991,DAL,Annual,0.761329305,82,28,54,8195,8570
1991,DEN,Annual,0.762704375,82,20,62,9828,10723
1991,DET,Annual,0.762550882,82,50,32,8205,7937
1991,GSW,Annual,0.78304962,82,44,38,9564,9430
1991,HOU,Annual,0.741363636,82,52,30,8753,8466
1991,IND,Annual,0.810810811,82,41,41,9159,9191
1991,LAC,Annual,0.702155741,82,31,51,8491,8774
1991,LAL,Annual,0.798319328,82,58,24,8717,8164
1991,MIA,Annual,0.714781101,82,24,58,8349,8840
1991,MIL,Annual,0.801427934,82,48,34,8727,8524
1991,MIN,Annual,0.735350624,82,29,53,8169,8491
1991,NJN,Annual,0.738530067,82,26,56,8441,8811
1991,NYK,Annual,0.770377271,82,39,43,8455,8474
1991,ORL,Annual,0.742950552,82,31,51,8684,9010
1991,PHI,Annual,0.789518174,82,44,38,8641,8656
1991,PHO,Annual,0.770149254,82,55,27,9348,8811
1991,POR,Annual,0.753349094,82,63,19,9407,8695
1991,SAC,Annual,0.731591449,82,25,57,7928,8484
1991,SAS,Annual,0.765758438,82,55,27,8782,8412
1991,SEA,Annual,0.750349977,82,41,41,8744,8643
1991,UTA,Annual,0.789239482,82,54,28,8527,8254
1991,WSB,Annual,0.728796844,82,30,52,8313,8721
1992,ATL,Annual,0.731436837,82,38,44,8711,8834
1992,BOS,Annual,0.808033385,82,51,31,8745,8448
1992,CHH,Annual,0.755073801,82,31,51,8980,9300
1992,CHI,Annual,0.744371482,82,67,15,9011,8155
1992,CLE,Annual,0.80522355,82,57,25,8926,8479
1992,DAL,Annual,0.749874937,82,22,60,8007,8634
1992,DEN,Annual,0.738268021,82,24,58,8176,8821
1992,DET,Annual,0.74288425,82,48,34,8113,7945
1992,GSW,Annual,0.745970837,82,55,27,9732,9412
1992,HOU,Annual,0.738118812,82,42,40,8366,8507
1992,IND,Annual,0.790186125,82,40,42,9197,9042
1992,LAC,Annual,0.720197931,82,45,37,8440,8352
1992,LAL,Annual,0.765583845,82,43,39,8229,8319
1992,MIA,Annual,0.789609274,82,38,44,8608,8953
1992,MIL,Annual,0.758079848,82,31,51,8608,8749
1992,MIN,Annual,0.742595584,82,15,67,8237,8815
1992,NJN,Annual,0.732205077,82,40,42,8641,8780
1992,NYK,Annual,0.733528551,82,51,31,8328,8009
1992,ORL,Annual,0.746472663,82,21,61,8330,8897
1992,PHI,Annual,0.775033083,82,35,47,8358,8462
1992,PHO,Annual,0.776387151,82,53,29,9194,8707
1992,POR,Annual,0.754364596,82,57,25,9135,8539
1992,SAC,Annual,0.746993525,82,29,53,8549,9046
1992,SAS,Annual,0.735529831,82,47,35,8524,8252
1992,SEA,Annual,0.783031374,82,47,35,8737,8583
1992,UTA,Annual,0.787550201,82,55,27,8877,8353
1992,WSB,Annual,0.777607362,82,25,57,8395,8761
1993,ATL,Annual,0.742008104,82,43,39,8814,8885
1993,BOS,Annual,0.777196653,82,48,34,8502,8429
1993,CHH,Annual,0.771272115,82,44,38,9030,9050
1993,CHI,Annual,0.733094262,82,57,25,8625,8109
1993,CLE,Annual,0.801793299,82,54,28,8832,8303
1993,DAL,Annual,0.704744357,82,11,71,8141,9387
1993,DEN,Annual,0.755932203,82,36,46,8626,8769
1993,DET,Annual,0.728666326,82,40,42,8252,8366
1993,GSW,Annual,0.717241379,82,34,48,9014,9095
1993,HOU,Annual,0.757894737,82,55,27,8531,8184
1993,IND,Annual,0.765735723,82,41,41,8836,8697
1993,LAC,Annual,0.717501148,82,41,41,8783,8754
1993,LAL,Annual,0.755642361,82,39,43,8546,8650
1993,MIA,Annual,0.770597738,82,36,46,8495,8589
1993,MIL,Annual,0.741950985,82,28,54,8392,8698
1993,MIN,Annual,0.798397864,82,19,63,8046,8684
1993,NJN,Annual,0.767050487,82,43,39,8431,8328
1993,NYK,Annual,0.741364421,82,60,22,8328,7823
1993,ORL,Annual,0.729859719,82,41,41,8652,8544
1993,PHI,Annual,0.786188579,82,26,56,8556,9029
1993,PHO,Annual,0.753052383,82,62,20,9298,8752
1993,POR,Annual,0.744905956,82,51,31,8898,8643
1993,SAC,Annual,0.762157744,82,25,57,8847,9107
1993,SAS,Annual,0.764705882,82,49,33,8652,8433
1993,SEA,Annual,0.761398849,82,55,27,8884,8304
1993,UTA,Annual,0.765556002,82,47,35,8709,8531
1993,WSB,Annual,0.747508306,82,22,60,8353,8930
1994,ATL,Annual,0.751690821,82,57,25,8318,7886
1994,BOS,Annual,0.730404393,82,32,50,8267,8618
1994,CHH,Annual,0.76440281,82,41,41,8732,8750
1994,CHI,Annual,0.704679935,82,55,27,8033,7780
1994,CLE,Annual,0.770186335,82,47,35,8296,7966
1994,DAL,Annual,0.746652935,82,13,69,7801,8514
1994,DEN,Annual,0.717705324,82,42,40,8221,8099
1994,DET,Annual,0.730612245,82,20,62,7949,8587
1994,GSW,Annual,0.663628472,82,50,32,8844,8701
1994,HOU,Annual,0.742669363,82,58,24,8292,7938
1994,IND,Annual,0.738165061,82,47,35,8280,7997
1994,LAC,Annual,0.709116541,82,27,55,8447,8916
1994,LAL,Annual,0.716827656,82,33,49,8233,8585
1994,MIA,Annual,0.784525416,82,42,40,8475,8256
1994,MIL,Annual,0.701513067,82,20,62,7949,8480
1994,MIN,Annual,0.771602258,82,20,62,7930,8498
1994,NJN,Annual,0.761523046,82,45,37,8461,8281
